# Time-averaged data for fix fIK
# TimeStep Number-of-rows
# Row c_pIK[1] c_pIK[2] c_pIK[3] c_pIK[4] c_pIK[5] c_pIK[6] c_pIK[7] c_pIK[8]
30000 360
210 20.95 0.69 0.578756 0.500601 0.470765 -0.890959 -0.865597 -0.890141
211 21.05 0.823333 0.741454 0.677614 0.687286 -0.757101 -0.618666 -0.881993
212 21.15 0.82 0.605165 0.655251 0.795517 -0.725761 -0.528737 -0.819257
213 21.25 0.673333 0.579135 0.625806 0.554596 -0.830804 -0.752592 -0.758155
214 21.35 0.74 0.490261 0.607967 0.686981 -0.722197 -1.08429 -0.762946
215 21.45 0.723333 0.637529 0.622952 0.693677 -0.741287 -1.05411 -0.808704
216 21.55 0.746667 0.601388 0.685606 0.496778 -0.697621 -1.30482 -0.902532
217 21.65 0.716667 0.567043 0.551536 0.714334 -0.796495 -0.931017 -0.799346
218 21.75 0.79 0.752969 0.74872 0.615818 -1.00347 -0.63039 -0.776082
219 21.85 0.753333 0.554731 0.649979 0.626756 -0.915851 -0.50453 -0.722282
220 21.95 0.796667 0.578284 0.626893 0.65527 -0.906947 -1.02487 -0.724852
221 22.05 0.7 0.529465 0.568266 0.530981 -1.27434 -0.963397 -0.80807
222 22.15 0.78 0.702557 0.674849 0.689415 -1.01401 -0.736491 -0.815764
223 22.25 0.766667 0.537589 0.627677 0.627888 -0.542977 -0.758978 -0.736743
224 22.35 0.676667 0.610816 0.543061 0.544914 -0.530732 -0.675123 -0.681355
225 22.45 0.71 0.639868 0.591807 0.594019 -0.600827 -0.809514 -0.692805
226 22.55 0.8 0.581136 0.624686 0.636326 -0.556016 -0.581751 -0.721311
227 22.65 0.84 0.687582 0.761754 0.751601 -0.712927 -0.779009 -0.772091
228 22.75 0.71 0.489026 0.53822 0.554612 -0.819952 -1.05794 -0.77142
229 22.85 0.783333 0.805714 0.706095 0.692094 -0.818678 -1.00783 -0.75535
230 22.95 0.78 0.594605 0.714751 0.639143 -0.697467 -0.888162 -0.751528
231 23.05 0.763333 0.699951 0.569318 0.623843 -0.491238 -0.305795 -0.77201
232 23.15 0.68 0.622923 0.545907 0.531827 -0.868228 -0.812604 -0.821023
233 23.25 0.753333 0.525117 0.727622 0.549491 -1.33675 -0.912993 -0.861854
234 23.35 0.703333 0.663027 0.584613 0.650839 -1.30097 -1.01317 -0.931579
235 23.45 0.756667 0.578255 0.552788 0.769597 -1.30748 -1.05955 -0.946687
236 23.55 0.79 0.710666 0.661019 0.606537 -0.917821 -0.58041 -0.931586
237 23.65 0.736667 0.684772 0.650724 0.518176 -0.551205 -0.595971 -0.940153
238 23.75 0.76 0.639159 0.634891 0.67335 -0.984801 -0.795836 -0.98896
239 23.85 0.71 0.634007 0.499633 0.636857 -0.827213 -0.592196 -0.965165
240 23.95 0.686667 0.603011 0.592302 0.602928 -0.855774 -0.893442 -0.941383
241 24.05 0.703333 0.504426 0.638358 0.487939 -0.706016 -1.00873 -0.894918
242 24.15 0.75 0.534731 0.678211 0.724559 -1.03341 -1.35306 -0.901194
243 24.25 0.756667 0.714016 0.682661 0.558598 -0.887404 -0.947434 -0.826112
244 24.35 0.746667 0.696965 0.611485 0.628229 -1.07448 -0.827284 -0.844077
245 24.45 0.696667 0.516846 0.572321 0.645187 -1.06037 -0.69693 -0.794411
246 24.55 0.713333 0.668556 0.612344 0.553118 -1.1168 -0.92603 -0.777277
247 24.65 0.673333 0.529348 0.509189 0.56043 -1.11401 -1.04168 -0.744203
248 24.75 0.696667 0.719443 0.638523 0.572191 -1.04638 -0.894716 -0.779213
249 24.85 0.666667 0.492348 0.548455 0.610985 -1.13125 -1.03125 -0.81456
