# Time-averaged data for fix fF
# TimeStep Number-of-rows
# Row c_pFull[1] c_pFull[2] c_pFull[3] c_pFull[4] c_pFull[5] c_pFull[6] c_pFull[7] c_pFull[8]
0 360
208 20.75 0.5 0.20018 0.314535 0.729078 -1.72402 0.844007 -0.371923
209 20.85 1 0.286897 0.917906 0.558226 -1.4234 0.884619 -0.658323
210 20.95 1.1 1.49461 0.862262 1.2223 -0.627082 4.44342 -0.96334
211 21.05 0.7 0.467268 0.519899 0.116963 -2.14485 -1.74818 -1.22864
212 21.15 0.9 0.758456 0.443043 0.24356 -2.30156 -2.75625 -1.17311
213 21.25 0.6 0.113721 0.208087 0.920811 -2.23361 -2.60299 -1.42288
214 21.35 0.4 0.215749 0.25337 0.25562 -2.1684 -1.68347 -1.42816
215 21.45 0.3 0.0817471 0.165557 0.104189 -2.12731 -1.48052 -1.33228
216 21.55 1 0.405392 0.566388 0.851844 -2.66307 -2.2581 -1.39776
217 21.65 1 0.707138 0.730459 1.16855 -2.73071 -0.235219 -1.41642
218 21.75 0.9 1.15814 0.840311 0.804372 -1.29671 0.229738 -1.19364
219 21.85 0.5 0.711656 0.125474 0.505334 -1.12538 3.60388 -0.896982
220 21.95 1.3 0.495745 0.972919 1.05495 -2.3123 -1.54185 -1.45104
221 22.05 0.6 0.264147 0.670799 0.943139 -2.53982 -1.44806 -0.681013
222 22.15 0.4 0.294544 0.452418 0.211713 -1.39295 -1.10886 -1.1193
223 22.25 0.6 0.724779 0.365521 0.579918 -0.808381 -2.21748 -1.06311
224 22.35 0.7 0.44274 0.62909 1.13826 -1.91233 -2.13717 -0.801119
225 22.45 0.7 0.584583 0.658934 0.899662 -1.68729 -2.07496 -0.799108
226 22.55 0.9 0.72823 0.278718 0.525157 0.662629 4.73976 -0.74313
227 22.65 0.4 0.622441 0.745321 0.479599 0.668748 -0.746758 -0.914636
228 22.75 1.2 0.944157 0.582756 0.661804 -0.0113204 -0.731438 -1.12793
229 22.85 0.8 1.05851 0.463545 1.01044 0.150953 0.337287 -1.25919
230 22.95 1 1.39687 0.709707 1.4438 -1.13484 1.69197 -1.45287
231 23.05 0.4 0.0296087 0.711219 0.436317 -2.23671 -1.53747 -1.63966
232 23.15 0.8 0.501862 0.422014 0.740442 -2.38668 -2.02848 -1.71515
233 23.25 0.5 0.145418 0.241067 0.174277 -0.875871 -2.24301 -1.64888
234 23.35 0.8 0.408726 0.691977 0.312247 -0.201955 -1.97847 -1.32808
235 23.45 0.7 1.0131 0.403499 0.541427 -0.441474 -1.59933 -1.32562
236 23.55 0.4 0.0714744 0.0688414 0.427967 -0.986028 -1.61919 -1.35121
237 23.65 0.6 1.32628 1.14937 0.58848 -1.28265 -1.98715 -1.48063
238 23.75 0.9 0.734413 0.45923 1.63808 1.3894 -1.57739 -1.46707
239 23.85 0.6 0.328566 0.184184 1.04472 -1.78167 -1.99395 -1.28379
240 23.95 1 0.681184 0.412482 0.643965 -2.43294 -2.30455 -0.898255
241 24.05 0.6 1.45056 0.854654 0.435722 -1.98965 -1.89681 -0.729543
242 24.15 0.6 0.7558 0.30125 0.917706 -1.56075 -1.15593 -0.807309
243 24.25 0.7 0.837485 0.252715 1.02792 -1.95706 -1.37175 -0.952309
244 24.35 0.8 0.241321 0.364527 0.36682 -0.215808 -1.14899 -0.498277
245 24.45 0.4 0.164064 0.618708 0.206741 0.28996 -0.758291 -0.0513382
246 24.55 0.6 0.373461 0.537043 0.355978 -0.740176 -1.36346 -0.188854
247 24.65 1.1 0.371717 1.28697 0.724854 -2.16946 -2.92147 -0.305085
248 24.75 0.7 0.434855 0.282523 1.21196 0.60998 -1.87602 0.266605
249 24.85 0.7 0.514466 0.998485 0.66624 2.67098 -1.14756 0.562906
250 24.95 0.8 0.76776 0.351869 0.92252 1.70092 -0.822208 0.543782
251 25.05 0.5 0.453524 0.295892 0.577692 -0.230864 -0.738545 0.332632
252 25.15 0.8 0.572184 0.435564 0.287308 -0.66683 -0.868482 0.210207
253 25.25 0.3 0.301096 0.085573 0.0518658 -2.20035 -1.18856 -0.201674
254 25.35 0.5 0.0489572 0.543207 0.731503 -1.81768 -1.18037 -0.566758
255 25.45 0.7 0.746146 0.78923 0.309558 -0.832565 -0.937257 -0.499152
256 25.55 0.5 0.371334 0.132462 0.460482 -0.978985 -1.84556 -0.420993
257 25.65 0.9 1.15069 0.421933 0.698005 -0.174368 -0.792445 0.13771
258 25.75 0.5 0.311054 1.31534 0.16592 1.34832 -0.246598 -0.0241107
259 25.85 0.5 0.309236 0.711868 0.821778 -0.855095 -0.728831 -0.130526
260 25.95 0.4 0.393111 0.0203934 0.211759 -0.727689 -1.2081 -0.22239
261 26.05 0.4 0.125884 0.0893336 0.799768 -1.01906 -0.748302 -0.450873
262 26.15 0.4 0.183512 0.448831 0.360735 -1.01408 -0.867539 -0.639013
263 26.25 0.4 0.189759 0.207773 0.125969 -1.29088 -1.07579 -0.653505
264 26.35 0.6 0.700074 0.589321 0.544728 -0.566671 -1.28497 -0.461518
265 26.45 0.5 0.0208314 0.57817 0.716382 -1.04577 -0.844754 -0.440302
266 26.55 0.4 0.989372 0.365865 0.0675187 -1.18303 -0.812918 -0.293407
267 26.65 0.3 0.0618274 0.33259 0.43601 -0.694416 -0.574706 -0.156963
268 26.75 0.4 0.118131 0.705588 0.112068 -0.555866 -0.755838 0.165433
269 26.85 0.2 0.0246179 0.232578 0.467382 -0.194008 -0.523398 0.172672
270 26.95 0 0 0 0 -0.116143 -0.475142 0.182506
271 27.05 0 0 0 0 -0.116322 -0.475322 0.182424
272 27.15 0.1 0.121022 0.0396995 0.330065 -0.201933 -0.562706 0.178978
273 27.25 0.2 0.132315 0.144668 0.308828 -0.0295921 -0.42562 0.188204
274 27.35 0.3 0.314818 0.0281369 0.142471 -0.0267278 -0.210021 0.126937
275 27.45 0.1 0.0359416 0.000822197 0.0555943 -0.041647 -0.0489016 0.202862
276 27.55 0.1 0.0279366 0.0862337 0.0338217 0.562028 -0.181507 0.0368908
277 27.65 0.3 0.115044 0.0947283 0.343338 1.08877 0.111631 -0.13889
278 27.75 0 0 0 0 -0.0402518 -0.0376736 -0.0891622
