# Time-averaged data for fix fK
# TimeStep Number-of-rows
# Row c_pKS[1] c_pKS[2] c_pKS[3] c_pKS[4] c_pKS[5] c_pKS[6] c_pKS[7] c_pKS[8]
0 360
11 1.05 0 0 0 0 -0.000352184 -0.000352184 -0.000409705
12 1.15 0 0 0 0 -0.000135366 -0.000135366 -0.000282916
13 1.25 0 0 0 0 -0.000136356 -0.000136356 -0.00028448
14 1.35 0 0 0 0 -0.00033665 -0.00033665 -0.000374498
15 1.45 0 0 0 0 -0.000142295 -0.000142295 -0.000275601
16 1.55 0 0 0 0 -0.000130008 -0.000130008 -0.00027505
17 1.65 0 0 0 0 -0.000129491 -0.000129491 -0.000275195
18 1.75 0 0 0 0 -0.000132489 -0.000132489 -0.000274824
19 1.85 0 0 0 0 -0.000312714 -0.000312714 -0.000385757
20 1.95 0 0 0 0 -0.000227472 -0.000227472 -0.00042717
21 2.05 0 0 0 0 -0.000126836 -0.000126836 -0.000277065
22 2.15 0 0 0 0 -0.000129378 -0.000129378 -0.000278265
23 2.25 0 0 0 0 -0.000130677 -0.000130677 -0.000277807
24 2.35 0 0 0 0 -0.000124547 -0.000124547 -0.000277403
25 2.45 0 0 0 0 -0.000417323 -0.000417323 -0.000454838
26 2.55 0 0 0 0 -0.000155403 -0.000155403 -0.00029107
27 2.65 0 0 0 0 -0.000277534 -0.000277534 -0.00041271
28 2.75 0 0 0 0 -8.00229e-05 -8.00229e-05 -0.000297371
29 2.85 0 0 0 0 -9.79668e-05 -9.79668e-05 -0.000296519
30 2.95 0 0 0 0 -9.09023e-05 -9.09023e-05 -0.000297297
31 3.05 0 0 0 0 -9.56909e-05 -9.56909e-05 -0.000296207
