# Time-averaged data for fix fB
# TimeStep Number-of-rows
# Row c_pB[1] c_pB[2] c_pB[3] c_pB[4] c_pB[5] c_pB[6] c_pB[7] c_pB[8]
0 360
296 29.55 0 0 0 0 -0.00134087 -0.000443217 -0.00649249
297 29.65 0 0 0 0 -0.00134087 -0.000443217 -0.00649249
298 29.75 0 0 0 0 -0.00134087 -0.000443217 -0.00649249
299 29.85 0 0 0 0 -0.00134087 -0.000443217 -0.00649249
300 29.95 0 0 0 0 -0.00134087 -0.000443217 -0.00649249
301 30.05 0 0 0 0 -0.00134087 -0.000443217 -0.00649249
302 30.15 0 0 0 0 -0.00134087 -0.000443217 -0.00649249
303 30.25 0 0 0 0 -0.00134087 -0.000443217 -0.00649249
304 30.35 0.1 0.245132 0.00752421 0.0577571 -0.0131901 -0.0146991 -0.0100843
305 30.45 0 0 0 0 -0.0170145 -0.0193002 -0.0112435
306 30.55 0 0 0 0 -0.0170145 -0.0193002 -0.0112435
307 30.65 0.1 0.0233427 0.0189672 0.0174039 -0.0166808 -0.022688 -0.0138887
308 30.75 0 0 0 0 -0.0153628 -0.0360715 -0.0243383
309 30.85 0 0 0 0 -0.0153628 -0.0360715 -0.0243383
310 30.95 0.1 0.011673 0.16317 0.0115929 -0.0155847 -0.0361087 -0.0242295
311 31.05 0.1 0.253962 0.0868164 0.000180079 -0.00877209 -0.023295 -0.0172841
312 31.15 0 0 0 0 -0.00656549 -0.0192796 -0.0151534
313 31.25 0 0 0 0 -0.00656549 -0.0192796 -0.0151534
314 31.35 0 0 0 0 -0.00656549 -0.0192796 -0.0151534
315 31.45 0.1 0.244844 0.00714418 0.111945 0.0326417 0.0155597 -0.00698547
316 31.55 0 0 0 0 0.0609168 0.0406848 -0.00109501
317 31.65 0.1 0.00309366 0.000176882 0.0449419 -0.000766826 -0.0249712 -0.00970546
318 31.75 0 0 0 0 -0.0126036 -0.0375703 -0.0113578
319 31.85 0 0 0 0 -0.0126036 -0.0375703 -0.0113578
320 31.95 0 0 0 0 -0.0126036 -0.0375703 -0.0113578
321 32.05 0 0 0 0 -0.0126036 -0.0375703 -0.0113578
322 32.15 0.1 0.00114839 0.238391 0.000356434 -0.00923483 -0.0275582 -0.00835958
323 32.25 0 0 0 0 -8.02592e-05 -0.00035058 -0.000212119
324 32.35 0 0 0 0 -8.02592e-05 -0.00035058 -0.000212119
325 32.45 0 0 0 0 -8.02592e-05 -0.00035058 -0.000212119
326 32.55 0 0 0 0 -8.02592e-05 -0.00035058 -0.000212119
327 32.65 0.1 0.000813066 0.117291 0.280502 -0.0342263 -0.0022541 -0.00650557
328 32.75 0 0 0 0 -0.0359104 -0.00234798 -0.00681596
329 32.85 0 0 0 0 -0.0359104 -0.00234798 -0.00681596
330 32.95 0 0 0 0 -0.0359104 -0.00234798 -0.00681596
